epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.8782,1.1197,0.85,1,0.55359,0.000411111,0.000411111,0.000411111
2,36.8868,0.5201,0.915,1,0.25325,0.000811388,0.000811388,0.000811388
3,55.7778,0.33328,0.945,1,0.19493,0.00119516,0.00119516,0.00119516
4,74.6445,0.27209,0.94,1,0.19586,0.00117575,0.00117575,0.00117575
5,94.2615,0.24444,0.93,1,0.1679,0.001151,0.001151,0.001151
6,112.126,0.19446,0.945,1,0.19565,0.00112625,0.00112625,0.00112625
7,131.413,0.22626,0.97,1,0.16162,0.0011015,0.0011015,0.0011015
8,150.991,0.1459,0.96,1,0.21432,0.00107675,0.00107675,0.00107675
9,168.656,0.14873,0.92,1,0.31518,0.001052,0.001052,0.001052
10,188.216,0.13292,0.95,1,0.20988,0.00102725,0.00102725,0.00102725
11,207.113,0.10932,0.955,1,0.19534,0.0010025,0.0010025,0.0010025
12,224.587,0.11932,0.965,1,0.1425,0.00097775,0.00097775,0.00097775
13,244.415,0.10637,0.96,1,0.13319,0.000953,0.000953,0.000953
14,262.24,0.08509,0.975,1,0.12266,0.00092825,0.00092825,0.00092825
15,281.48,0.085,0.965,1,0.13995,0.0009035,0.0009035,0.0009035
16,301.246,0.07063,0.965,1,0.12831,0.00087875,0.00087875,0.00087875
17,318.547,0.09113,0.965,1,0.1613,0.000854,0.000854,0.000854
18,338.824,0.08262,0.96,1,0.16727,0.00082925,0.00082925,0.00082925
19,356.093,0.05994,0.965,1,0.21451,0.0008045,0.0008045,0.0008045
20,375.167,0.05655,0.965,1,0.18409,0.00077975,0.00077975,0.00077975
21,395.009,0.05163,0.97,1,0.10352,0.000755,0.000755,0.000755
22,413.282,0.06188,0.965,1,0.11473,0.00073025,0.00073025,0.00073025
23,431.902,0.06896,0.96,1,0.13161,0.0007055,0.0007055,0.0007055
24,452.273,0.06532,0.965,1,0.10742,0.00068075,0.00068075,0.00068075
25,471.462,0.06044,0.97,1,0.08699,0.000656,0.000656,0.000656
26,491.135,0.05242,0.97,1,0.10371,0.00063125,0.00063125,0.00063125
27,510.23,0.05995,0.975,1,0.10033,0.0006065,0.0006065,0.0006065
28,530.369,0.03387,0.97,1,0.12152,0.00058175,0.00058175,0.00058175
29,549.663,0.04095,0.98,1,0.09235,0.000557,0.000557,0.000557
30,567.636,0.04456,0.975,1,0.11144,0.00053225,0.00053225,0.00053225
31,587.477,0.04644,0.98,1,0.12908,0.0005075,0.0005075,0.0005075
32,607.941,0.03188,0.975,1,0.08362,0.00048275,0.00048275,0.00048275
33,628.301,0.02559,0.975,1,0.10204,0.000458,0.000458,0.000458
34,647.54,0.02599,0.975,1,0.10116,0.00043325,0.00043325,0.00043325
35,665.894,0.02707,0.975,1,0.10421,0.0004085,0.0004085,0.0004085
36,685.483,0.02493,0.98,1,0.09778,0.00038375,0.00038375,0.00038375
37,703.166,0.03337,0.985,1,0.10031,0.000359,0.000359,0.000359
38,723.084,0.03051,0.975,1,0.10278,0.00033425,0.00033425,0.00033425
39,742.636,0.02402,0.98,1,0.10017,0.0003095,0.0003095,0.0003095
40,762.053,0.02467,0.98,1,0.17456,0.00028475,0.00028475,0.00028475
41,780.915,0.02023,0.985,1,0.10852,0.00026,0.00026,0.00026
42,800.964,0.01885,0.985,1,0.08496,0.00023525,0.00023525,0.00023525
43,819.299,0.01568,0.985,1,0.09256,0.0002105,0.0002105,0.0002105
44,839.707,0.03387,0.975,1,0.09517,0.00018575,0.00018575,0.00018575
45,859.405,0.03098,0.98,1,0.09272,0.000161,0.000161,0.000161
46,877.696,0.03284,0.985,1,0.08344,0.00013625,0.00013625,0.00013625
47,896.879,0.02016,0.985,1,0.08993,0.0001115,0.0001115,0.0001115
48,916.531,0.02623,0.985,1,0.08519,8.675e-05,8.675e-05,8.675e-05
49,935.545,0.01841,0.985,1,0.09049,6.2e-05,6.2e-05,6.2e-05
50,954.058,0.02361,0.985,1,0.22703,3.725e-05,3.725e-05,3.725e-05
